Timestamp,Open,Close,High,Low,Volume,Turnover
2025-01-01 00:00:00,93574.4,93838.6,94484.5,93484.3,172.14146368,16167651.87822057
2025-01-01 04:00:00,93838.6,93693.0,93933.7,93530.6,55.92780604,5241034.213663863
2025-01-01 08:00:00,93693.1,93447.0,93761.3,92900.8,151.66058856,14156239.89937011
2025-01-01 12:00:00,93447.1,94446.9,94500.0,93407.0,161.98392835,15229910.687382556
2025-01-01 16:00:00,94443.5,94627.7,94821.6,93755.6,173.72848271,16370845.037710711
2025-01-01 20:00:00,94627.8,94584.1,95150.0,94542.1,157.34479367,14914636.8913898
2025-01-02 00:00:00,94584.2,95010.3,95510.0,94380.5,272.01666456,25851216.66258663
2025-01-02 04:00:00,95010.4,95817.3,96000.0,94977.6,422.7409649,40400258.35743327
2025-01-02 08:00:00,95817.3,96722.8,96880.8,95622.0,292.58256774,28211439.03507637
2025-01-02 12:00:00,96722.9,96466.7,97400.0,95936.4,474.42382152,45885106.81719663
2025-01-02 16:00:00,96459.2,97313.1,97768.0,96042.2,407.145322,39535046.98986201
2025-01-02 20:00:00,97317.9,96983.8,97839.1,96685.6,183.86280011,17868639.188636206
2025-01-03 00:00:00,96983.9,97062.6,97347.8,96646.2,133.98071087,12992400.187082477
2025-01-03 04:00:00,97062.5,96311.1,97062.6,96281.9,146.58482749,14170466.379301429
2025-01-03 08:00:00,96311.1,96753.6,96823.1,96105.4,137.18103428,13233572.01388301
2025-01-03 12:00:00,96753.6,97510.1,97650.0,96470.0,313.16606287,30389744.76365081
2025-01-03 16:00:00,97514.4,98593.3,98976.9,97406.4,380.26239359,37358805.64845237
2025-01-03 20:00:00,98592.0,98173.9,98745.6,98064.4,154.19031894,15164117.95147072
2025-01-04 00:00:00,98173.9,98195.7,98314.1,97800.1,124.41930042,12201054.751232112
2025-01-04 04:00:00,98195.8,98278.6,98339.0,97870.5,91.27678471,8956229.53081418
2025-01-04 08:00:00,98278.5,97890.2,98306.5,97537.4,133.101028,13027001.721535264
2025-01-04 12:00:00,97890.3,97667.0,98162.7,97538.2,140.42398512,13742965.65762276
2025-01-04 16:00:00,97666.7,98165.2,98349.9,97572.2,144.22379218,14126300.383729398
2025-01-04 20:00:00,98165.2,98215.4,98782.5,98127.5,155.076217,15265306.1565272
2025-01-05 00:00:00,98215.4,98189.7,98380.5,98040.5,72.11391156,7080651.510335268
